system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
000000000000000001c5,0.0,571.0,0.1269936564556709,4.0,55.0,"{""type"":""Point"",""coordinates"":[108.52979299375602,14.1511578526579]}",108.52979299375602,14.1511578526579,871.4319379171413,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000042,0.0,517.0,0.3728755928346953,5.0,55.0,"{""type"":""Point"",""coordinates"":[108.52979299375603,14.198321764500196]}",108.52979299375605,14.198321764500196,710.6962477537164,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002b3,0.0,653.0,0.4305846133782289,1.0,56.0,"{""type"":""Point"",""coordinates"":[108.48020333094065,14.217995318348002]}",108.48020333094064,14.217995318348002,181.3562454738506,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000167,0.0,1003.0,0.7469234708448828,3.0,56.0,"{""type"":""Point"",""coordinates"":[108.43681627769064,14.455687700001933]}",108.43681627769064,14.455687700001931,2113.219863507632,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000005e5,0.0,494.0,0.2087375570273514,4.0,56.0,"{""type"":""Point"",""coordinates"":[108.53599114422032,14.199940418182598]}",108.53599114422032,14.199940418182598,1152.769579273078,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000269,0.0,1132.0,0.3515723356671381,7.0,56.0,"{""type"":""Point"",""coordinates"":[108.4389744826005,14.507431108626118]}",108.4389744826005,14.507431108626118,767.0901904194985,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000246,0.0,473.0,0.5057172638235554,8.0,56.0,"{""type"":""Point"",""coordinates"":[108.56806099899671,14.178648210652396]}",108.56806099899671,14.178648210652396,669.1141133620264,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000446,0.0,929.0,0.7303989431690716,6.0,58.0,"{""type"":""Point"",""coordinates"":[108.42091512333404,14.390740893158494]}",108.42091512333404,14.390740893158494,441.7738251689618,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000387,0.0,770.0,0.4807734530105142,10.0,58.0,"{""type"":""Point"",""coordinates"":[108.46403463052086,14.248446519441984]}",108.46403463052086,14.248446519441984,1001.3075427096894,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000056b,0.0,939.0,0.0235913350015513,20.0,58.0,"{""type"":""Point"",""coordinates"":[108.51038698597142,14.068423691712265]}",108.51038698597142,14.068423691712264,1782.6298881580028,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002c0,0.0,694.0,0.5606298582902881,29.0,58.0,"{""type"":""Point"",""coordinates"":[108.45487117785603,14.37106733931069]}",108.45487117785603,14.37106733931069,455.02275866687,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000497,0.0,679.0,0.4908946072127391,5.0,59.0,"{""type"":""Point"",""coordinates"":[108.52359484329175,14.241169266522759]}",108.52359484329176,14.24116926652276,896.7443924915216,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000000f0,0.0,569.0,0.2780893490105787,10.0,59.0,"{""type"":""Point"",""coordinates"":[108.52440194058241,14.138222000501855]}",108.5244019405824,14.138222000501855,350.6054017929732,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000050,0.0,776.0,0.4001723650814003,7.0,62.0,"{""type"":""Point"",""coordinates"":[108.59824465402748,14.346002732289275]}",108.59824465402748,14.346002732289277,1970.423959914793,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000044d,0.0,637.0,0.2598971652405413,8.0,71.0,"{""type"":""Point"",""coordinates"":[108.64055260482256,14.159781754095265]}",108.64055260482256,14.159781754095263,649.4994362276818,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000005fb,0.0,725.0,0.7052309578547808,14.0,71.0,"{""type"":""Point"",""coordinates"":[108.41579607532469,14.216916215893066]}",108.41579607532468,14.216916215893066,2430.046432564982,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000212,0.0,798.0,0.3188984106324077,16.0,71.0,"{""type"":""Point"",""coordinates"":[108.33791341632521,14.423078293998085]}",108.3379134163252,14.423078293998085,992.0573957098796,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000044b,0.0,876.0,0.4382043107453329,19.0,71.0,"{""type"":""Point"",""coordinates"":[108.43789538014558,14.375111743966162]}",108.43789538014558,14.375111743966162,627.6955419937194,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000062e,0.0,610.0,0.1163059314940759,3.0,72.0,"{""type"":""Point"",""coordinates"":[108.47319808318571,14.149811204139759]}",108.47319808318572,14.14981120413976,32.753466633093225,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002bf,0.0,859.0,0.5587517540609831,7.0,72.0,"{""type"":""Point"",""coordinates"":[108.47211898073077,14.319323930686505]}",108.47211898073076,14.319323930686505,489.5078361367305,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002fa,0.0,1051.0,0.0184396670185653,9.0,72.0,"{""type"":""Point"",""coordinates"":[108.44058867718184,14.4268506934893]}",108.44058867718184,14.4268506934893,26.941405315934,0.0,0,KBang,train,0,,,,,,,,,,
