system:index,defo,elevation,rand,slope,treecover2000,.geo
000000000000000003c5,0,798,0.5408264741201975,19,83,"{""type"":""Point"",""coordinates"":[108.40717217388732,14.215837113438129]}"
00000000000000000556,0,893,0.536977592633041,21,83,"{""type"":""Point"",""coordinates"":[108.48047533610492,14.12070665156392]}"
00000000000000000534,0,925,0.6086406537779464,36,83,"{""type"":""Point"",""coordinates"":[108.33063616340597,14.426043596198625]}"
00000000000000000311,0,747,0.6684447091444872,3,85,"{""type"":""Point"",""coordinates"":[108.51955043863626,14.285635422227719]}"
00000000000000000522,0,694,0.7346433508784673,4,85,"{""type"":""Point"",""coordinates"":[108.56051620001428,14.224193468812286]}"
00000000000000000102,0,817,0.7345062405633103,5,85,"{""type"":""Point"",""coordinates"":[108.50176308453406,14.094295396024357]}"
000000000000000003d6,0,838,0.7691718927906632,5,85,"{""type"":""Point"",""coordinates"":[108.57156585242471,14.380770343202984]}"
00000000000000000290,0,987,0.3441093070185779,8,85,"{""type"":""Point"",""coordinates"":[108.45379653450215,14.45002910076511]}"
000000000000000002af,0,1130,0.052729110398164636,9,85,"{""type"":""Point"",""coordinates"":[108.38641951758459,14.489376208460714]}"
00000000000000000392,0,842,0.5175476201847862,10,85,"{""type"":""Point"",""coordinates"":[108.59042784988078,14.386968493667277]}"
000000000000000004ad,0,753,0.18528777610124458,10,85,"{""type"":""Point"",""coordinates"":[108.502842186989,14.212336719111175]}"
000000000000000005c4,0,639,0.3223012494266787,15,85,"{""type"":""Point"",""coordinates"":[108.5287138913011,14.1331029524925]}"
00000000000000000401,0,903,0.44450187091081816,16,85,"{""type"":""Point"",""coordinates"":[108.41633562655215,14.387775590957952]}"
0000000000000000016b,0,808,0.341802257812287,17,85,"{""type"":""Point"",""coordinates"":[108.50526793796209,14.067349048358386]}"
00000000000000000547,0,870,0.6278624686762666,18,85,"{""type"":""Point"",""coordinates"":[108.47346562924889,14.237936418259011]}"
00000000000000000420,0,742,0.4335472370344742,19,85,"{""type"":""Point"",""coordinates"":[108.45460363179284,14.25249092409746]}"
00000000000000000413,0,590,0.4954146678852086,20,85,"{""type"":""Point"",""coordinates"":[108.53625869028352,14.139840654184255]}"
00000000000000000397,0,1363,0.6419546558971186,25,85,"{""type"":""Point"",""coordinates"":[108.38669152274883,14.203173266446344]}"
00000000000000000411,0,831,0.24493186692382407,25,85,"{""type"":""Point"",""coordinates"":[108.42253377701644,14.254644669906272]}"
00000000000000000189,0,887,0.019164623518390766,32,85,"{""type"":""Point"",""coordinates"":[108.45675737760163,14.134721606174898]}"
0000000000000000038b,0,923,0.5400224627805412,34,85,"{""type"":""Point"",""coordinates"":[108.47131188344008,14.141187302702395]}"
00000000000000000450,0,850,0.1897996167526973,36,85,"{""type"":""Point"",""coordinates"":[108.51362429333624,14.101305102880374]}"
0000000000000000029e,0,576,0.5269631704052691,39,85,"{""type"":""Point"",""coordinates"":[108.53033254498351,14.228772965594178]}"
000000000000000004d5,0,1470,0.638133004031866,39,85,"{""type"":""Point"",""coordinates"":[108.36297356424558,14.379958786811263]}"
00000000000000000157,0,1457,0.5565884146212189,41,85,"{""type"":""Point"",""coordinates"":[108.31284880930377,14.309353380730998]}"
00000000000000000372,0,730,0.48503346096842936,5,86,"{""type"":""Point"",""coordinates"":[108.61118050618353,14.223386371521617]}"
00000000000000000495,0,892,0.5023786420428827,6,86,"{""type"":""Point"",""coordinates"":[108.41714272384283,14.385621845149142]}"
000000000000000000e8,0,936,0.27156676316279615,7,86,"{""type"":""Point"",""coordinates"":[108.42576662528019,14.326868729668934]}"
000000000000000004c5,0,1106,0.02665399219307585,9,86,"{""type"":""Point"",""coordinates"":[108.42495952798951,14.501232958161832]}"
00000000000000000635,0,656,0.4330685750076534,9,86,"{""type"":""Point"",""coordinates"":[108.4847872868236,14.19347026255405]}"
000000000000000004bd,0,815,0.03172215002020318,10,86,"{""type"":""Point"",""coordinates"":[108.50068844118019,14.353279985208497]}"
00000000000000000248,0,669,0.41327530394659673,11,86,"{""type"":""Point"",""coordinates"":[108.58827410407197,14.216376664665601]}"
000000000000000003da,0,777,0.37979415393521576,11,86,"{""type"":""Point"",""coordinates"":[108.48909923754229,14.181073961625467]}"
00000000000000000444,0,1149,0.4575164650567315,12,86,"{""type"":""Point"",""coordinates"":[108.42361287947139,14.516327015227745]}"
00000000000000000643,0,671,0.7718629234478788,15,86,"{""type"":""Point"",""coordinates"":[108.49475783677912,14.049022143028724]}"
00000000000000000038,0,1001,0.5447097766613128,16,86,"{""type"":""Point"",""coordinates"":[108.4893667836055,14.10669169695294]}"
